well,n,ps,ps_frac,eval_n,lateral_ft,azimuth,tvt_eval_std,tvt_eval_range,gr_miss_pct,gr_miss_eval_pct,gr_gap_med,gr_gap_max,tw_covers_eval,carry_rmse
2e29e833,7254,1826,0.25,5428,6781,89.9,4.3,17.6,4.3,4.5,1,2,True,4.31
2e43c2ea,7349,1651,0.22,5698,6798,129.7,6.05,21.9,33.4,35.1,1,12,True,7.49
2e63d9de,6505,1806,0.28,4699,5954,-53.9,13.22,41.7,14.8,15.6,1,13,True,13.77
2ee0235b,7256,1700,0.23,5556,6793,130.1,4.73,19.1,11.3,11.8,1,7,True,6.8
2f19d536,4744,1656,0.35,3088,4543,126.2,2.82,12.3,30.6,37.3,1,10,True,6.54
2f8e53c3,4133,1539,0.37,2594,3826,-92.7,2.82,11.2,35.2,42.1,1,12,True,3.29
2fa01aa6,3860,1686,0.44,2174,3352,-51.9,11.13,34.2,26.7,39.7,1,12,True,18.78
2fd68f7b,6381,1651,0.26,4730,5845,-70.6,23.48,76.0,56.3,61.4,2,34,True,60.74
2fe023be,6060,1839,0.3,4221,5488,114.4,7.63,34.9,41.3,44.8,1,15,True,12.91
30d75030,5009,1605,0.32,3404,4744,93.6,13.9,53.4,17.4,19.8,1,7,True,17.6
310c71a5,6988,1743,0.25,5245,6497,130.9,6.16,34.4,13.5,16.2,1,9,True,8.84
32fe84c9,8163,1755,0.21,6408,7660,-89.0,9.42,38.6,14.7,15.2,1,13,True,22.25
33c40295,5989,1820,0.3,4169,5419,112.9,8.15,22.8,7.4,5.3,1,85,True,8.7
3407f5bf,5309,1671,0.31,3638,4932,-50.1,16.03,68.9,40.7,46.0,1,16,True,21.29
3417285d,7458,2009,0.27,5449,6681,100.7,10.72,45.7,8.0,9.8,1,8,True,34.42
347242c8,5437,1842,0.34,3595,4855,-66.9,2.23,10.3,4.8,5.7,1,6,True,2.24
353e5502,7901,1839,0.23,6062,7330,130.3,5.54,19.6,15.4,19.8,2,11,True,5.64
357c12f9,5770,1691,0.29,4079,5200,127.7,4.35,16.4,11.1,11.0,1,8,True,5.62
3584a6eb,6150,1656,0.27,4494,5631,110.9,4.16,13.6,17.6,20.0,1,10,True,9.11
35b30c7f,11270,1691,0.15,9579,10661,-48.8,7.51,34.5,42.6,44.4,1,18,True,19.15
35b3ef6a,5736,1832,0.32,3904,5374,130.8,10.35,37.1,35.7,38.5,1,8,True,26.05
367456ce,7312,1743,0.24,5569,6806,-70.1,6.51,23.3,34.5,34.6,1,16,True,12.62
368131f9,6568,1577,0.24,4991,6264,111.0,12.14,43.1,60.7,63.6,1,36,True,20.88
368fe682,6416,1480,0.23,4936,6102,131.1,8.12,28.6,3.6,3.6,1,2,True,13.88
3690a146,5761,1688,0.29,4073,5183,-47.6,6.8,23.2,16.7,17.7,1,9,True,7.13
37344c2a,6943,1746,0.25,5197,6356,-44.6,11.81,40.1,14.1,14.4,1,5,True,13.24
373ef48b,4992,1483,0.3,3509,4713,-47.3,4.02,14.3,39.0,45.8,1,10,True,5.21
374be387,11802,1837,0.16,9965,11260,131.2,6.38,23.9,59.1,60.9,1,15,True,6.71
37d36812,6017,1650,0.27,4367,5522,121.3,9.15,33.9,22.7,25.2,1,10,True,21.86
38991fd4,6545,1747,0.27,4798,6002,132.6,7.57,28.3,25.7,27.0,1,187,True,14.87
389ae58f,8201,1738,0.21,6463,7692,-52.6,13.8,68.5,18.7,19.5,1,11,True,49.76
3932faa6,7388,1936,0.26,5452,6849,128.7,13.05,52.1,29.1,30.5,1,11,True,13.16
398dce4b,5005,1839,0.37,3166,4467,131.4,4.35,24.3,44.3,49.9,1,18,True,4.56
39b51819,6382,2151,0.34,4231,5798,133.2,2.28,10.3,53.0,55.8,2,28,True,3.16
3a0af893,4580,1653,0.36,2927,4369,128.9,9.86,27.2,49.0,51.8,2,18,True,18.69
3a223519,6581,1998,0.3,4583,5939,-75.6,6.01,18.5,12.3,9.1,1,14,True,9.4
3a7dd95d,4320,1248,0.29,3072,4161,-134.1,8.93,27.6,42.9,47.4,1,13,True,13.01
3a824aa7,5678,1477,0.26,4201,5388,109.9,5.03,17.6,46.7,47.2,1,16,True,5.69
3a86fe8d,6572,1454,0.22,5118,6175,-70.2,4.9,18.5,45.1,47.8,2,18,True,11.63
3aaa2b30,6396,1685,0.26,4711,6029,-79.3,9.64,33.4,28.0,31.2,1,9,True,17.52
3ac16ad0,7412,1763,0.24,5649,6826,-45.1,8.29,29.8,24.9,25.3,1,13,True,8.88
3b21ea64,9103,1727,0.19,7376,8676,111.1,7.02,28.4,5.5,6.0,1,5,True,8.37
3bbe1f5d,8184,1266,0.15,6918,7636,-48.4,5.26,21.6,40.5,46.0,1,31,True,10.57
3bfee975,5088,1485,0.29,3603,4786,-69.3,7.83,25.4,57.8,60.7,2,17,True,7.84
3c3dbcbc,6911,1842,0.27,5069,6392,108.3,8.28,29.0,53.2,56.4,1,23,True,8.29
3d96d897,7147,1488,0.21,5659,6771,-48.2,3.2,11.8,6.7,7.2,1,7,True,3.61
3df4b19e,6658,1670,0.25,4988,6175,88.7,5.58,17.6,28.1,29.5,1,9,True,8.67
3e011332,4842,2119,0.44,2723,4093,111.1,14.53,41.0,1.9,1.8,1,2,True,17.42
3e678ea7,8737,1879,0.22,6858,8265,-69.7,6.21,27.5,38.6,39.3,1,16,True,10.23
3ef6372a,6666,1939,0.29,4727,6074,-48.5,6.2,21.1,3.9,3.5,1,14,True,6.23
3ef98781,5343,1451,0.27,3892,5055,91.3,4.46,19.6,3.9,3.8,1,2,True,12.43
3f603129,6599,1548,0.23,5051,6254,-78.0,11.48,44.0,30.1,30.3,1,7,True,29.71
404c4384,2612,1701,0.65,911,2139,131.6,2.07,8.9,19.7,33.2,1,14,True,3.6
4121c517,5471,1748,0.32,3723,4976,104.3,8.1,28.3,32.8,38.7,1,10,True,11.22
41fb0192,4381,1408,0.32,2973,4097,-56.6,1.9,8.4,5.9,6.2,1,4,True,3.56
42669188,6080,1798,0.3,4282,5532,125.4,9.12,37.8,7.5,7.5,1,8,True,23.03
42c538a1,4762,1483,0.31,3279,4541,-131.8,14.01,42.4,22.5,24.3,1,6,True,26.19
43b06c70,6590,1744,0.26,4846,6059,110.1,5.28,17.2,15.4,16.5,1,5,True,8.77
43c7f85a,7484,1506,0.2,5978,7165,-48.8,6.91,24.3,48.8,50.4,2,12,True,11.18
43e16325,5845,2125,0.36,3720,5228,40.6,26.25,84.5,17.7,16.0,1,10,True,45.78
44441e54,5568,1211,0.22,4357,5375,-92.6,3.65,13.4,36.0,40.9,1,10,True,3.67
445af6c2,7998,1957,0.24,6041,7438,-48.6,13.71,39.1,14.6,16.1,1,22,True,29.95
4463446c,4729,1473,0.31,3256,4544,-49.7,11.53,32.4,18.8,19.8,1,5,True,18.86
44a94013,6492,1589,0.24,4903,6266,136.0,10.86,60.1,24.2,25.0,1,9,True,23.26
45fb3e21,5626,1977,0.35,3649,5015,111.0,15.54,40.0,47.7,56.6,2,19,True,25.16
460f859e,4982,1646,0.33,3336,4479,-50.0,20.01,61.0,57.2,62.1,2,23,True,20.01
4630ab92,5307,1934,0.36,3373,4720,111.0,7.12,24.3,24.6,27.3,1,16,True,10.88
463c38f2,6048,1588,0.26,4460,5873,132.0,6.31,19.9,20.6,22.8,1,7,True,6.32
4654e7de,7010,1637,0.23,5373,6642,-47.6,5.04,22.3,4.9,5.0,1,4,True,5.26
466fc788,7767,1570,0.2,6197,7200,120.2,11.01,38.0,45.5,48.0,1,31,True,16.97
46a301e9,9962,1736,0.17,8226,9440,-50.1,4.62,18.4,44.0,45.6,1,17,True,10.71
46a7190b,5646,1431,0.25,4215,5328,-83.4,8.12,27.8,35.5,41.0,1,17,True,13.31
46d24a09,6123,1674,0.27,4449,5804,117.6,9.81,40.7,20.1,21.0,1,17,True,21.03
46d41ff6,9226,1325,0.14,7901,9004,-68.8,6.44,24.9,30.7,33.5,1,29,True,7.15
46dfcfca,4921,1315,0.27,3606,4640,-83.7,6.65,43.3,46.0,52.7,2,13,True,23.31
47222616,5835,1429,0.24,4406,5656,111.1,9.06,30.8,16.6,18.9,1,5,True,12.73
47ee27ab,8274,1877,0.23,6397,7656,130.8,7.7,28.4,17.5,16.7,1,184,True,7.81
481de5fc,7694,1742,0.23,5952,7167,125.8,6.36,24.3,34.3,37.2,1,12,True,13.66
48c1f673,4666,1749,0.37,2917,4099,137.4,9.18,28.6,7.8,3.6,1,139,True,18.48
4936af16,5559,1568,0.28,3991,5202,-87.0,4.76,17.9,51.4,55.9,1,11,True,5.13
493b5b31,6884,2213,0.32,4671,6232,-43.8,15.85,49.1,4.2,4.7,1,4,True,20.81
49dbc14c,5198,1326,0.26,3872,4909,-50.4,3.73,17.1,61.0,67.4,2,23,True,5.47
4a035ec2,4522,1934,0.43,2588,4045,-55.6,10.38,28.8,8.9,8.7,1,17,True,18.38
4a335117,6727,1712,0.25,5015,6191,-50.4,10.95,47.3,26.8,28.8,1,9,True,25.01
4a8ecc0b,7374,1565,0.21,5809,6835,110.4,10.55,39.2,1.8,2.0,1,1,True,11.21
4b462989,4738,1632,0.34,3106,4329,132.3,5.53,18.6,36.8,39.7,1,11,True,6.61
4b831d20,9433,2121,0.22,7312,8693,111.0,9.65,31.0,3.7,3.9,1,3,True,16.4
4c2208f5,7248,1864,0.26,5384,6778,137.5,12.05,49.8,3.8,3.8,1,4,True,37.38
4c3168cf,5959,1625,0.27,4334,5587,91.0,3.0,16.0,21.2,23.5,1,9,True,4.4
4c3df468,6903,1511,0.22,5392,6601,-50.8,8.81,36.0,48.4,50.7,2,14,True,20.73
4caa7289,6854,1458,0.21,5396,6546,130.7,6.72,22.2,56.2,61.2,1,18,True,9.68
4cd1ac61,6709,2220,0.33,4489,6057,111.3,2.54,16.5,10.9,11.9,1,9,True,14.74
4cecf7b3,7676,1657,0.22,6019,7336,120.1,8.37,30.2,45.5,48.3,1,73,True,8.8
4ddde4c1,6417,1945,0.3,4472,5798,103.4,3.51,18.4,6.9,7.5,1,6,True,4.58
4e050c92,5236,1531,0.29,3705,4899,-92.2,5.36,20.0,17.3,19.4,1,8,True,6.76
4ed93db6,6496,1839,0.28,4657,5915,88.3,5.02,14.5,3.9,3.7,1,8,True,9.13
4f3eb9e9,5911,1214,0.21,4697,5860,88.2,23.79,61.3,5.6,5.0,1,3,True,33.08
4f4ac5ce,6899,1737,0.25,5162,6515,131.0,7.81,25.4,56.2,59.8,1,12,True,8.25
4f4afcc6,7184,1539,0.21,5645,6858,-47.8,8.32,32.4,6.7,7.3,1,19,True,8.32
4f69febf,7599,2139,0.28,5460,6867,134.7,5.92,23.5,3.2,2.9,1,7,True,14.94
4fbe9c06,7938,1651,0.21,6287,7371,-47.6,9.13,24.7,59.8,61.5,2,331,True,12.7
504c8b08,8012,1645,0.21,6367,7456,130.4,6.08,30.4,18.5,18.6,1,8,True,20.66
511e1db0,5645,1824,0.32,3821,5133,-47.3,2.43,10.8,6.3,5.7,1,13,True,2.65
512943b2,6681,1652,0.25,5029,6146,-92.6,3.39,16.5,72.8,77.1,3,25,True,4.03
5138a660,4829,1270,0.26,3559,4672,-80.4,4.3,14.0,38.5,38.7,1,8,True,5.48
516088b7,8300,1655,0.2,6645,7802,131.0,6.35,28.7,54.6,59.2,2,20,True,6.37
521a7819,7224,2024,0.28,5200,6598,130.9,10.51,42.1,14.6,15.8,1,63,True,25.36
5254b6db,5115,1841,0.36,3274,4616,139.3,2.2,10.2,21.3,22.0,1,18,True,7.29
529e88ca,5253,1836,0.35,3417,4656,136.8,11.76,36.3,50.0,55.0,1,18,True,15.27
52f1e77a,6053,1611,0.27,4442,5811,-90.9,7.76,23.0,6.1,6.2,1,3,True,14.17
5305524b,6457,1559,0.24,4898,6254,135.7,7.94,33.0,32.6,35.4,1,15,True,16.63
53134831,7214,2088,0.29,5126,6583,-92.0,5.2,22.3,53.6,57.9,1,17,True,17.34
5397ceb1,6811,1556,0.23,5255,6430,-68.3,9.13,32.4,8.0,8.5,1,11,True,9.25
53f23031,10200,1650,0.16,8550,9661,-65.3,6.91,25.3,3.5,4.1,1,10,True,10.67
543198e8,8311,1808,0.22,6503,7765,132.2,19.33,90.3,27.0,27.6,1,104,True,20.51
54753541,5679,1653,0.29,4026,5414,-48.0,16.22,70.4,26.7,29.9,1,10,True,16.22
54a7e3c2,7893,1738,0.22,6155,7505,131.1,5.31,19.1,31.0,34.5,1,14,True,11.04
5542c301,5433,1842,0.34,3591,4783,132.8,5.44,21.0,45.8,48.1,1,211,True,5.5
5567d551,8390,1501,0.18,6889,8048,121.7,7.53,38.8,63.9,66.2,2,16,True,10.29
55efee7f,6577,1776,0.27,4801,6131,130.7,18.51,61.5,5.7,1.1,1,64,True,25.84
5663b2b7,6907,1935,0.28,4972,6260,127.7,14.69,43.4,14.6,15.7,1,9,True,16.28
5693dde2,4846,1358,0.28,3488,4542,-48.6,3.55,13.2,52.1,58.7,1,16,True,6.96
56b00794,7293,1228,0.17,6065,7044,-43.7,10.73,43.0,44.3,43.1,1,11,True,29.94
57796579,7622,1732,0.23,5890,7107,130.5,8.33,29.3,6.5,6.7,1,10,True,12.81
